name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd8,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd8,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd9,,,common,,,100,TRUE,TRUE,TRUE,1,1,1,1,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd9,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd10,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd10,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd20,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd20,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd30,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd30,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd40,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd40,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd50,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd50,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd60,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd60,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd70,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd70,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd80,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd80,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd90,,,common,,,100,TRUE,TRUE,TRUE,10,10,10,10,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd90,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd100,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd100,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd200,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd200,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd300,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd300,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd400,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd400,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd500,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd500,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd600,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd600,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd700,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd700,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd800,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd800,dont look plz,,
mymod_AIretrofit_oppadd,mymod_AIretrofit_opadd900,,,common,,,100,TRUE,TRUE,TRUE,100,100,100,100,data.scripts.hullmods.ATretroopcost.mymod_AIretrofit_opadd900,dont look plz,,
